#Reg ID	X(")	Y(")	LogAge	[Fe/H]VI	logg	E(B-V)	V	eV	VI	eVI	RA(deg)	Dec(deg)
6 49200 -97.28300 -37.37200 7.95000 0.32957 1.46214 0.03780 22.461 0.011 1.346 0.012 0.46404 -15.47122
6 49202 -97.27200 -577.90997 9.65000 -0.96103 0.87456 0.03197 22.978 0.006 1.378 0.010 0.46404 -15.62136
6 49342 -96.62600 -263.05801 10.05000 -1.22911 0.84880 0.03519 23.100 0.010 1.346 0.012 0.46421 -15.53392
6 7014 -96.32450 53.15360 8.25000 -0.46172 1.80984 0.03800 22.93 0.15 1.06 0.180278 0.5180068 -15.4786538
6 49473 -95.99900 -113.61000 9.55000 -1.21090 1.04881 0.07744 23.106 0.007 1.316 0.010 0.46442 -15.49239
6 49550 -95.59000 -181.94000 10.05000 -1.22864 0.59899 0.03739 22.848 0.007 1.454 0.009 0.46454 -15.51136
6 49569 -95.52700 -139.62601 9.50000 -0.95942 0.78854 0.03739 22.748 0.004 1.422 0.007 0.46454 -15.49961
6 7003 -95.03960 54.95620 8.60000 -0.71278 1.41243 0.03800 22.68 0.10 1.18 0.122066 0.5176499 -15.4791545
6 49951 -93.77300 129.87900 9.75000 -1.21527 0.55078 0.03574 22.542 0.010 1.490 0.012 0.46504 -15.42475
6 49968 -93.71700 -516.37799 9.50000 -0.96026 0.97937 0.03232 23.026 0.010 1.347 0.012 0.46504 -15.60428
6 50204 -92.72100 -174.21700 8.00000 -0.20447 1.31968 0.17739 22.562 0.006 1.450 0.008 0.46538 -15.50922
6 50300 -92.38600 53.09100 9.20000 -0.70759 1.01170 0.03646 22.951 0.006 1.383 0.009 0.46546 -15.44608
6 50312 -92.32100 108.54200 8.25000 0.06095 1.45433 0.03574 22.898 0.005 1.355 0.008 0.46550 -15.43069
6 50356 -92.11800 491.04599 9.75000 -1.21526 0.49471 0.03170 22.466 0.006 1.519 0.007 0.46554 -15.32442
6 50551 -91.25200 80.07100 9.95000 -1.22290 0.62875 0.03646 22.911 0.007 1.424 0.010 0.46579 -15.43858
6 50662 -90.74200 69.44600 9.10000 -0.95846 1.16155 0.03646 22.897 0.008 1.265 0.010 0.46592 -15.44153
6 50727 -90.48800 -682.86603 8.50000 -0.19956 1.52141 0.03186 22.970 0.018 1.240 0.020 0.46600 -15.65053
6 6963 -88.70510 137.35201 8.40000 -0.96835 1.28404 0.15190 22.47 0.07 1.31 0.0860233 0.5158903 -15.5020421
6 51334 -88.01400 245.18300 9.85000 -1.21878 0.93788 0.03362 23.061 0.010 1.309 0.014 0.46671 -15.39272
