#Reg ID X(")    Y(")    LogAge  [Fe/H]VI        logg    E(B-V)  V       eV      VI      eVI     RA(deg) Dec(deg)
6 7011 -95.88560 150.81700 9.65000 -1.43319 -0.20277 0.15190 22.24 0.06 2.11 0.067082 0.5178849 -15.5057825
6 49609 -95.37600 -8.66200 9.45000 -1.46120 0.95049 0.03780 22.685 0.009 1.291 0.010 0.46458 -15.46325
6 49802 -94.54000 -167.45100 9.15000 -1.70754 1.17380 0.17739 23.041 0.010 1.348 0.012 0.46483 -15.50733
6 50100 -93.14500 -151.50000 10.10000 -1.48470 0.77447 0.03739 22.936 0.009 1.353 0.011 0.46525 -15.50292
6 50265 -92.54400 197.67500 10.00000 -1.73035 1.00351 0.03366 23.059 0.008 1.234 0.011 0.46542 -15.40592
6 50305 -92.37200 -31.33000 10.30000 -1.65390 0.41621 0.03780 22.806 0.006 1.401 0.008 0.46546 -15.46953
6 50704 -90.58600 79.75200 9.85000 -1.90018 0.33743 0.03646 22.279 0.009 1.384 0.011 0.46596 -15.43867
6 50821 -90.14200 -192.50500 9.70000 -1.71659 0.90665 0.03739 22.702 0.005 1.286 0.008 0.46608 -15.51431
6 51289 -88.14700 -304.53699 10.25000 -1.49936 0.71755 0.03406 22.920 0.005 1.360 0.006 0.46667 -15.54542
6 6955 -88.05780 196.46201 9.85000 -1.90019 0.26097 0.03800 22.11 0.10 1.43 0.116619 0.5157105 -15.5184618
6 51768 -86.27000 25.47400 9.55000 -1.71286 0.90956 0.06646 22.670 0.007 1.314 0.009 0.46721 -15.45375
6 51924 -85.66100 2.42700 9.00000 -1.45795 1.20772 0.13780 22.882 0.007 1.296 0.010 0.46738 -15.46017
6 51985 -85.43400 110.42000 10.20000 -1.49443 0.72048 0.03574 22.917 0.005 1.366 0.008 0.46746 -15.43017
6 52105 -84.95600 -164.52699 10.15000 -1.48897 0.80013 0.03739 23.006 0.006 1.328 0.009 0.46758 -15.50653
6 6924 -84.01460 112.00400 9.05000 -1.95631 1.48230 0.03800 22.91 0.12 1.05 0.156205 0.5145874 -15.4950011
6 52385 -83.78800 170.53900 10.10000 -1.73598 0.69831 0.03366 22.716 0.010 1.360 0.012 0.46796 -15.41347
6 52419 -83.64800 13.18800 9.95000 -1.90205 0.44223 0.10213 22.668 0.009 1.480 0.011 0.46796 -15.45717
6 52770 -82.33900 168.71001 9.75000 -1.39683 0.44928 0.03366 22.651 0.006 1.447 0.008 0.46837 -15.41397
6 52785 -82.28300 -128.13100 10.25000 -1.50086 0.78079 0.03744 23.109 0.009 1.377 0.011 0.46837 -15.49642
6 52795 -82.22800 142.69701 9.50000 -1.96265 1.09300 0.15190 23.091 0.011 1.334 0.014 0.46837 -15.42120
6 6906 -82.12320 155.92799 9.95000 -1.65141 0.16707 0.03800 22.41 0.07 1.51 0.0806226 0.5140620 -15.5072022
6 52903 -81.82200 -8.12700 9.80000 -1.46848 0.91856 0.03780 22.894 0.008 1.295 0.010 0.46850 -15.46308
6 6896 -81.62420 188.56000 8.80000 -1.46453 1.61920 0.03800 22.99 0.18 1.04 0.216333 0.5139234 -15.5162668
6 53040 -81.31900 100.31100 10.00000 -1.47768 0.62077 0.03574 22.673 0.007 1.423 0.008 0.46867 -15.43297
6 53232 -80.61600 236.55200 9.85000 -1.47132 0.75137 0.03366 22.744 0.007 1.379 0.009 0.46887 -15.39511
6 6879 -80.00600 106.79400 9.70000 -3.47578 1.18605 0.03800 22.79 0.11 1.07 0.136015 0.5134739 -15.4935538
6 53431 -79.91700 283.62799 10.00000 -1.72952 0.74316 0.03362 22.699 0.010 1.344 0.012 0.46904 -15.38206
6 53568 -79.45600 -19.16700 9.70000 -1.92910 0.97718 0.03780 22.732 0.009 1.234 0.011 0.46917 -15.46617
6 53676 -79.09000 159.48900 9.85000 -1.47061 1.02212 0.03574 23.073 0.013 1.252 0.016 0.46929 -15.41653
6 53741 -78.85100 50.65000 10.25000 -1.49840 0.64303 0.03646 22.835 0.006 1.388 0.008 0.46938 -15.44675
6 54010 -77.88000 -25.69600 10.10000 -1.65493 0.38430 0.03780 22.626 0.007 1.445 0.009 0.46963 -15.46797
6 54050 -77.73100 163.63901 10.00000 -1.47782 0.61877 0.03574 22.650 0.005 1.421 0.008 0.46967 -15.41539
6 54190 -77.30600 744.75000 9.65000 -1.71592 0.88420 0.03059 22.633 0.005 1.292 0.009 0.46983 -15.25394
6 6851 -76.73220 49.24300 10.00000 -1.90024 0.01865 0.03800 22.79 0.11 1.71 0.12083 0.5125645 -15.4775675
6 6843 -76.06150 184.02299 10.05000 -1.48092 0.48964 0.03800 22.56 0.10 1.49 0.116619 0.5123782 -15.5150064
6 54600 -75.87800 -23.59600 9.20000 -1.95857 1.48418 0.03780 23.080 0.008 1.054 0.012 0.47021 -15.46739
6 54760 -75.33900 -178.93401 9.35000 -1.46010 1.20887 0.07739 23.065 0.010 1.235 0.013 0.47038 -15.51053
6 54995 -74.49700 237.99500 10.05000 -1.73457 0.85860 0.03362 22.945 0.007 1.317 0.010 0.47063 -15.39472
6 6823 -74.05880 153.77200 10.10000 -1.48425 0.48985 0.03800 22.59 0.08 1.48 0.0943398 0.5118219 -15.5066034
6 6822 -74.01670 89.79550 9.85000 -1.47023 0.70314 0.03800 22.67 0.12 1.39 0.138924 0.5118102 -15.4888321
6 55152 -74.00000 3.15400 10.25000 -2.50995 0.81077 0.03780 22.757 0.010 1.271 0.012 0.47075 -15.45994
6 55785 -71.64000 71.72100 9.15000 -1.95697 1.31112 0.14646 23.086 0.007 1.241 0.011 0.47146 -15.44092
6 6789 -71.36820 71.59360 9.40000 -1.96089 0.69625 0.14646 22.40 0.07 1.49 0.0806226 0.5110745 -15.4837760
6 55933 -71.08300 246.25400 10.30000 -1.74011 0.75594 0.03362 22.915 0.007 1.322 0.010 0.47158 -15.39242
6 56418 -69.41700 153.34200 9.35000 -1.96268 1.36815 0.03574 23.082 0.007 1.103 0.012 0.47208 -15.41825
6 56613 -68.79000 42.89800 10.15000 -1.74069 0.91637 0.03646 23.059 0.006 1.273 0.011 0.47225 -15.44892
6 56666 -68.61900 -293.74899 10.20000 -1.40626 0.45605 0.03519 22.800 0.005 1.416 0.007 0.47229 -15.54242
6 56724 -68.40700 141.93900 10.00000 -1.90405 0.71431 0.03574 22.911 0.009 1.451 0.012 0.47238 -15.42142
6 56733 -68.38800 -43.89900 10.20000 -1.74613 0.78816 0.04780 22.934 0.008 1.330 0.012 0.47238 -15.47303
6 56850 -68.00600 41.55700 9.95000 -2.98416 1.08429 0.03646 22.874 0.013 1.129 0.017 0.47250 -15.44928
6 57008 -67.46300 -175.83600 9.55000 -1.46193 0.71801 0.07739 22.548 0.009 1.429 0.010 0.47263 -15.50967
6 6740 -67.45970 62.34190 9.70000 -3.47578 1.18605 0.03800 22.79 0.09 1.07 0.114018 0.5099888 -15.4812061
6 6729 -67.05900 190.31500 10.00000 -2.98809 0.93555 0.03800 22.66 0.15 1.18 0.17 0.5098775 -15.5167542
6 57159 -66.99400 116.43900 10.30000 -1.50452 0.78791 0.03574 23.056 0.009 1.326 0.012 0.47279 -15.42850
6 6718 -66.21190 52.40450 9.60000 -1.64636 0.43553 0.03800 22.14 0.06 1.38 0.072111 0.5096422 -15.4784457
6 57488 -65.95200 193.56200 10.00000 -1.73046 1.01803 0.03366 23.077 0.014 1.228 0.016 0.47308 -15.40705
6 58007 -64.20900 60.40400 9.95000 -1.97807 0.79237 0.03646 22.648 0.012 1.313 0.016 0.47358 -15.44406
6 58108 -63.81800 67.56500 10.15000 -1.74075 0.87679 0.03646 23.004 0.007 1.289 0.011 0.47371 -15.44206
6 6671 -63.55440 151.37199 10.05000 -1.65272 0.13726 0.03800 22.59 0.08 1.58 0.0943398 0.5089040 -15.5059367
6 58234 -63.40300 147.98399 10.25000 -1.65544 0.38492 0.03574 22.831 0.010 1.438 0.012 0.47383 -15.41972
6 58257 -63.28300 250.38699 9.60000 -1.46292 0.84310 0.03362 22.617 0.007 1.320 0.009 0.47383 -15.39128
6 58397 -62.84300 144.53600 9.85000 -1.47152 0.89748 0.03574 22.949 0.012 1.322 0.014 0.47396 -15.42069
6 6645 -61.82140 138.06300 10.20000 -1.49367 0.72925 0.03800 22.93 0.14 1.36 0.152315 0.5084226 -15.5022396
6 58828 -61.43800 222.08900 10.20000 -1.49443 0.78107 0.03366 22.992 0.011 1.341 0.013 0.47438 -15.39914
6 6641 -61.43110 143.55600 9.55000 -1.46185 0.37074 0.03800 22.07 0.05 1.56 0.0583095 0.5083142 -15.5037656
6 58841 -61.38400 179.20200 9.70000 -1.46623 0.73918 0.03366 22.598 0.009 1.382 0.012 0.47442 -15.41106
6 58942 -61.09800 85.77900 9.80000 -3.47783 1.02355 0.14646 22.935 0.005 1.260 0.009 0.47446 -15.43700
6 58997 -60.92600 -183.79700 10.10000 -1.73593 0.82351 0.07739 23.020 0.008 1.360 0.011 0.47450 -15.51189
6 59006 -60.89200 -32.73100 10.05000 -1.73261 0.60991 0.05807 22.646 0.007 1.438 0.010 0.47454 -15.46992
6 59373 -59.83100 112.17700 9.60000 -1.89531 0.38923 0.03549 22.498 0.009 1.500 0.011 0.47483 -15.42967
6 6601 -59.63080 77.34850 9.75000 -1.89531 -0.25682 0.14646 22.73 0.08 1.96 0.0894427 0.5078141 -15.4853746
6 59432 -59.62400 30.07900 10.10000 -1.40373 0.37718 0.03721 22.727 0.008 1.427 0.011 0.47492 -15.45247
6 6600 -59.58040 18.98750 8.70000 -1.46618 1.62702 0.03800 22.88 0.22 1.03 0.245967 0.5078001 -15.4691632
6 59485 -59.47100 -19.71300 9.25000 -1.46050 1.17133 0.05807 22.907 0.009 1.235 0.013 0.47496 -15.46631
6 59501 -59.40400 155.12399 10.30000 -1.40829 0.44996 0.03574 22.818 0.006 1.402 0.010 0.47496 -15.41775
6 6590 -59.08070 -38.54050 8.75000 -1.71467 1.19848 0.05807 22.23 0.06 1.17 0.072111 0.5076613 -15.4531832
6 6577 -58.59500 -18.21100 9.30000 -1.71153 1.26214 0.03800 22.95 0.12 1.16 0.144222 0.5075264 -15.4588303
6 59836 -58.43500 23.36000 10.15000 -1.48943 0.37345 0.03721 22.476 0.005 1.548 0.007 0.47525 -15.45433
6 59893 -58.23700 -254.65500 9.30000 -1.70999 0.88661 0.14977 22.677 0.006 1.422 0.009 0.47529 -15.53158
6 59953 -58.04800 100.72800 10.05000 -1.73256 0.79842 0.03549 22.853 0.007 1.328 0.010 0.47537 -15.43286
6 59991 -57.90100 228.41299 9.95000 -1.90071 0.45725 0.03366 22.751 0.005 1.398 0.007 0.47542 -15.39739
6 6537 -57.45890 108.50500 10.25000 -1.90759 0.45568 0.03800 22.53 0.07 1.34 0.0860233 0.5072108 -15.4940291
6 60228 -57.25100 131.61700 10.00000 -1.47894 0.80031 0.03549 22.938 0.009 1.368 0.012 0.47558 -15.42428
6 60480 -56.52500 -46.06500 10.15000 -1.65594 0.43088 0.03807 22.688 0.008 1.417 0.011 0.47579 -15.47364
6 6494 -55.90370 -19.52210 9.85000 -1.97337 0.83697 0.05807 22.70 0.08 1.32 0.1 0.5067788 -15.4584661
6 60684 -55.90100 189.93201 9.85000 -1.64992 0.22656 0.09482 22.495 0.008 1.512 0.010 0.47596 -15.40808
6 60697 -55.85900 340.84000 10.15000 -1.74023 0.83374 0.03269 22.927 0.005 1.292 0.008 0.47600 -15.36617
6 60836 -55.43200 164.56400 9.60000 -1.46292 0.79723 0.03482 22.556 0.007 1.342 0.010 0.47613 -15.41511
6 60849 -55.37700 440.11499 9.65000 -1.96619 0.80717 0.12238 22.700 0.010 1.416 0.010 0.47613 -15.33858
